source	transformation	target
Bob sees Claire - Grace sees Grace - Grace sees herself	sem	see ( bob , claire )
Bob sees Claire - Grace meets Grace - Grace meets herself	sem	see ( bob , claire )
Bob sees Claire - Grace likes Grace - Grace likes herself	sem	see ( bob , claire )
Bob sees Claire - Grace dislikes Grace - Grace dislikes herself	sem	see ( bob , claire )
Bob sees Claire - Grace throws Grace - Grace throws herself	sem	see ( bob , claire )
Bob sees Claire - Grace notices Grace - Grace notices herself	sem	see ( bob , claire )
Bob sees Claire - Grace knows Grace - Grace knows herself	sem	see ( bob , claire )
Isla knows John - Grace sees Grace - Grace sees herself	sem	know ( isla , john )
Isla knows John - Grace meets Grace - Grace meets herself	sem	know ( isla , john )
Isla knows John - Grace likes Grace - Grace likes herself	sem	know ( isla , john )
Isla knows John - Grace dislikes Grace - Grace dislikes herself	sem	know ( isla , john )
Isla knows John - Grace throws Grace - Grace throws herself	sem	know ( isla , john )
Isla knows John - Grace notices Grace - Grace notices herself	sem	know ( isla , john )
Isla knows John - Grace knows Grace - Grace knows herself	sem	know ( isla , john )
Neha meets Eliza - Grace sees Grace - Grace sees herself	sem	meet ( neha , eliza )
Neha meets Eliza - Grace meets Grace - Grace meets herself	sem	meet ( neha , eliza )
Neha meets Eliza - Grace likes Grace - Grace likes herself	sem	meet ( neha , eliza )
Neha meets Eliza - Grace dislikes Grace - Grace dislikes herself	sem	meet ( neha , eliza )
Neha meets Eliza - Grace throws Grace - Grace throws herself	sem	meet ( neha , eliza )
Neha meets Eliza - Grace notices Grace - Grace notices herself	sem	meet ( neha , eliza )
Neha meets Eliza - Grace knows Grace - Grace knows herself	sem	meet ( neha , eliza )
Zelda likes Henry - Grace sees Grace - Grace sees herself	sem	like ( zelda , henry )
Zelda likes Henry - Grace meets Grace - Grace meets herself	sem	like ( zelda , henry )
Zelda likes Henry - Grace likes Grace - Grace likes herself	sem	like ( zelda , henry )
Zelda likes Henry - Grace dislikes Grace - Grace dislikes herself	sem	like ( zelda , henry )
Zelda likes Henry - Grace throws Grace - Grace throws herself	sem	like ( zelda , henry )
Zelda likes Henry - Grace notices Grace - Grace notices herself	sem	like ( zelda , henry )
Zelda likes Henry - Grace knows Grace - Grace knows herself	sem	like ( zelda , henry )
