source	transformation	target
Grace sees herself - Grace knows Bob + Claire knows Bob	sem	see ( claire , claire )
Grace meets herself - Grace knows Bob + Claire knows Bob	sem	meet ( claire , claire )
Grace likes herself - Grace knows Bob + Claire knows Bob	sem	like ( claire , claire )
Grace dislikes herself - Grace knows Bob + Claire knows Bob	sem	dislike ( claire , claire )
Grace throws herself - Grace knows Bob + Claire knows Bob	sem	throw ( claire , claire )
Grace notices herself - Grace knows Bob + Claire knows Bob	sem	notice ( claire , claire )
Grace knows herself - Grace sees Bob + Claire sees Bob	sem	know ( claire , claire )
Grace sees herself - Grace knows John + Neha knows John	sem	see ( neha , neha )
Grace meets herself - Grace knows John + Neha knows John	sem	meet ( neha , neha )
Grace likes herself - Grace knows John + Neha knows John	sem	like ( neha , neha )
Grace dislikes herself - Grace knows John + Neha knows John	sem	dislike ( neha , neha )
Grace throws herself - Grace knows John + Neha knows John	sem	throw ( neha , neha )
Grace notices herself - Grace knows John + Neha knows John	sem	notice ( neha , neha )
Grace knows herself - Grace sees John + Neha sees John	sem	know ( neha , neha )
Grace sees herself - Grace knows Xerxes + Isla knows Xerxes	sem	see ( isla , isla )
Grace meets herself - Grace knows Xerxes + Isla knows Xerxes	sem	meet ( isla , isla )
Grace likes herself - Grace knows Xerxes + Isla knows Xerxes	sem	like ( isla , isla )
Grace dislikes herself - Grace knows Xerxes + Isla knows Xerxes	sem	dislike ( isla , isla )
Grace throws herself - Grace knows Xerxes + Isla knows Xerxes	sem	throw ( isla , isla )
Grace notices herself - Grace knows Xerxes + Isla knows Xerxes	sem	notice ( isla , isla )
Grace knows herself - Grace sees Xerxes + Isla sees Xerxes	sem	know ( isla , isla )
Grace sees herself - Grace knows Henry + Eliza knows Henry	sem	see ( eliza , eliza )
Grace meets herself - Grace knows Henry + Eliza knows Henry	sem	meet ( eliza , eliza )
Grace likes herself - Grace knows Henry + Eliza knows Henry	sem	like ( eliza , eliza )
Grace dislikes herself - Grace knows Henry + Eliza knows Henry	sem	dislike ( eliza , eliza )
Grace throws herself - Grace knows Henry + Eliza knows Henry	sem	throw ( eliza , eliza )
Grace notices herself - Grace knows Henry + Eliza knows Henry	sem	notice ( eliza , eliza )
Grace knows herself - Grace sees Henry + Eliza sees Henry	sem	know ( eliza , eliza )
