source	target	prediction
she can swim <eos>	she can swim <eos>	he can run <eos> vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon
he may laugh <eos>	he may laugh <eos>	he may run <eos> vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon
hiccup can jump <eos>	hiccup can jump <eos>	he can run <eos> vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon
he must jump <eos>	he must jump <eos>	he can run <eos> vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon
ron can run <eos>	ron can run <eos>	he can run <eos> vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon
she may laugh <eos>	she may laugh <eos>	he may run <eos> vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon
snape may swim <eos>	snape may swim <eos>	he may run <eos> vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon
sirius may run <eos>	sirius may run <eos>	he may run <eos> vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon
she must walk <eos>	she must walk <eos>	he must run <eos> vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon
smile can jump <eos>	smile can jump <eos>	he can run <eos> vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon
