source	transformation	target
Bob sees Claire - Alice sees Alice - Alice sees herself	sem	see ( bob , claire )
Bob sees Claire - Alice meets Alice - Alice meets herself	sem	see ( bob , claire )
Bob sees Claire - Alice likes Alice - Alice likes herself	sem	see ( bob , claire )
Bob sees Claire - Alice dislikes Alice - Alice dislikes herself	sem	see ( bob , claire )
Bob sees Claire - Alice throws Alice - Alice throws herself	sem	see ( bob , claire )
Bob sees Claire - Alice notices Alice - Alice notices herself	sem	see ( bob , claire )
Bob sees Claire - Alice knows Alice - Alice knows herself	sem	see ( bob , claire )
Isla knows John - Alice sees Alice - Alice sees herself	sem	know ( isla , john )
Isla knows John - Alice meets Alice - Alice meets herself	sem	know ( isla , john )
Isla knows John - Alice likes Alice - Alice likes herself	sem	know ( isla , john )
Isla knows John - Alice dislikes Alice - Alice dislikes herself	sem	know ( isla , john )
Isla knows John - Alice throws Alice - Alice throws herself	sem	know ( isla , john )
Isla knows John - Alice notices Alice - Alice notices herself	sem	know ( isla , john )
Isla knows John - Alice knows Alice - Alice knows herself	sem	know ( isla , john )
Neha meets Eliza - Alice sees Alice - Alice sees herself	sem	meet ( neha , eliza )
Neha meets Eliza - Alice meets Alice - Alice meets herself	sem	meet ( neha , eliza )
Neha meets Eliza - Alice likes Alice - Alice likes herself	sem	meet ( neha , eliza )
Neha meets Eliza - Alice dislikes Alice - Alice dislikes herself	sem	meet ( neha , eliza )
Neha meets Eliza - Alice throws Alice - Alice throws herself	sem	meet ( neha , eliza )
Neha meets Eliza - Alice notices Alice - Alice notices herself	sem	meet ( neha , eliza )
Neha meets Eliza - Alice knows Alice - Alice knows herself	sem	meet ( neha , eliza )
Zelda likes Henry - Alice sees Alice - Alice sees herself	sem	like ( zelda , henry )
Zelda likes Henry - Alice meets Alice - Alice meets herself	sem	like ( zelda , henry )
Zelda likes Henry - Alice likes Alice - Alice likes herself	sem	like ( zelda , henry )
Zelda likes Henry - Alice dislikes Alice - Alice dislikes herself	sem	like ( zelda , henry )
Zelda likes Henry - Alice throws Alice - Alice throws herself	sem	like ( zelda , henry )
Zelda likes Henry - Alice notices Alice - Alice notices herself	sem	like ( zelda , henry )
Zelda likes Henry - Alice knows Alice - Alice knows herself	sem	like ( zelda , henry )
