target	prediction
james may hiccup	james may hiccup
vernon may giggle	vernon may giggle
hagrid should jump	hagrid should jump
albus may wiggle	albus may wiggle
petunia can hiccup	petunia can hiccup
he must swim	he must swim
she should run	she should run
harry should party	harry should party
neville can run	neville can run
albus should wiggle	albus should wiggle
petunia should jump	petunia should jump
mcgonagall should walk	mcgonagall should walk
vernon may wiggle	vernon may wiggle
hagrid should hiccup	hagrid should hiccup
voldemort may walk	voldemort may walk
lupin should swim	lupin should swim
fred must run	fred must run
lupin must wiggle	lupin must wiggle
she should hiccup	she should hiccup
snape can jump	snape can jump
lupin can walk	lupin can walk
snape should run	snape should run
draco should smile	draco should smile
james must run	james must run
lupin may hiccup	lupin may hiccup
ginny must laugh	ginny must laugh
lupin may smile	lupin may smile
snape should party	snape should party
dobby should wiggle	dobby should wiggle
george should swim	george should swim
mcgonagall may hiccup	mcgonagall may hiccup
voldemort can party	voldemort can party
vernon can jump	vernon can jump
hermione must giggle	hermione must giggle
james should walk	james should walk
lily must laugh	lily must laugh
hermione can run	hermione can run
mcgonagall can wiggle	mcgonagall can wiggle
harry should walk	harry should walk
hagrid must wiggle	hagrid must wiggle
draco should giggle	draco should giggle
lupin should swim	lupin should swim
fred may laugh	fred may laugh
mcgonagall should jump	mcgonagall should jump
ron should giggle	ron should giggle
voldemort must party	voldemort must party
lily may wiggle	lily may wiggle
dobby should hiccup	dobby should hiccup
neville should swim	neville should swim
voldemort should hiccup	voldemort should hiccup
hermione can hiccup	hermione can hiccup
voldemort should hiccup	voldemort should hiccup
george should hiccup	george should hiccup
sirius can walk	sirius can walk
dobby can jump	dobby can jump
vernon may smile	vernon may smile
harry can jump	harry can jump
mcgonagall may jump	mcgonagall may jump
albus can party	albus can party
hermione should wiggle	hermione should wiggle
albus can giggle	albus can giggle
draco should giggle	draco should giggle
dobby should run	dobby should run
george should giggle	george should giggle
george must smile	george must smile
vernon can smile	vernon can smile
hagrid should swim	hagrid should swim
snape must party	snape must party
james should giggle	james should giggle
he should wiggle	he should wiggle
fred may jump	fred may jump
lupin should smile	lupin should smile
harry can party	harry can party
albus should jump	albus should jump
albus may party	albus may party
he can smile	he can smile
draco must run	draco must run
lily should swim	lily should swim
neville must smile	neville must smile
hermione must party	hermione must party
petunia should run	petunia should run
harry should laugh	harry should laugh
hermione can party	hermione can party
harry should party	harry should party
fred must run	fred must run
vernon must jump	vernon must jump
albus may walk	albus may walk
vernon may giggle	vernon may giggle
james must hiccup	james must hiccup
petunia may party	petunia may party
albus must smile	albus must smile
neville must laugh	neville must laugh
vernon can walk	vernon can walk
she can wiggle	she can wiggle
ginny must wiggle	ginny must wiggle
petunia can swim	petunia can swim
hermione must wiggle	hermione must wiggle
dobby must giggle	dobby must giggle
lupin must hiccup	lupin must hiccup
snape should hiccup	snape should hiccup
lupin may laugh	lupin may laugh
ginny should laugh	ginny should laugh
albus must jump	albus must jump
voldemort may wiggle	voldemort may wiggle
hagrid must walk	hagrid must walk
she should laugh	she should laugh
draco must run	draco must run
lupin must swim	lupin must swim
vernon should run	vernon should run
hermione must giggle	hermione must giggle
she may swim	she may swim
lily may swim	lily may swim
he may swim	he may swim
hagrid can wiggle	hagrid can wiggle
lily should jump	lily should jump
lupin should smile	lupin should smile
lupin can jump	lupin can jump
ron can swim	ron can swim
james must jump	james must jump
vernon should walk	vernon should walk
sirius may walk	sirius may walk
dobby should smile	dobby should smile
she must giggle	she must giggle
dobby should hiccup	dobby should hiccup
voldemort should run	voldemort should run
she must giggle	she must giggle
ginny must swim	ginny must swim
he can jump	he can jump
lupin may hiccup	lupin may hiccup
ginny may party	ginny may party
snape can giggle	snape can giggle
draco should swim	draco should swim
hermione must hiccup	hermione must hiccup
mcgonagall must smile	mcgonagall must smile
mcgonagall may giggle	mcgonagall may giggle
james must walk	james must walk
sirius must jump	sirius must jump
george can laugh	george can laugh
george should swim	george should swim
she must wiggle	she must wiggle
dobby can run	dobby can run
harry can run	harry can run
she must giggle	she must giggle
neville may wiggle	neville may wiggle
sirius must walk	sirius must walk
neville may laugh	neville may laugh
george must jump	george must jump
mcgonagall should run	mcgonagall should run
george should walk	george should walk
mcgonagall must hiccup	mcgonagall must hiccup
vernon can walk	vernon can walk
vernon must run	vernon must run
draco can smile	draco can smile
vernon can walk	vernon can walk
james should hiccup	james should hiccup
vernon can laugh	vernon can laugh
she must giggle	she must giggle
harry may smile	harry may smile
vernon can jump	vernon can jump
dobby can giggle	dobby can giggle
hermione can walk	hermione can walk
neville can walk	neville can walk
dobby should giggle	dobby should giggle
lily should party	lily should party
hagrid should laugh	hagrid should laugh
he may giggle	he may giggle
ginny should jump	ginny should jump
he should laugh	he should laugh
vernon must party	vernon must party
lily should jump	lily should jump
vernon should laugh	vernon should laugh
fred should walk	fred should walk
lily can party	lily can party
she must swim	she must swim
draco can walk	draco can walk
james should hiccup	james should hiccup
snape should laugh	snape should laugh
draco must jump	draco must jump
he may walk	he may walk
hermione must walk	hermione must walk
lupin can jump	lupin can jump
hermione may hiccup	hermione may hiccup
sirius should laugh	sirius should laugh
snape must hiccup	snape must hiccup
vernon must walk	vernon must walk
ron may walk	ron may walk
she should laugh	she should laugh
neville should run	neville should run
albus should jump	albus should jump
snape may laugh	snape may laugh
