source	target	prediction
yvette sees alice <eos>	see ( yvettte , alice ) <eos>	see ( yvettte , alice ) <eos>
quinn sees alice <eos>	see ( quinn , alice ) <eos>	see ( quinn , alice ) <eos>
ursula throws alice <eos>	throw ( ursula , alice ) <eos>	throw ( ursula , alice ) <eos>
claire notices alice <eos>	notice ( claire , alice ) <eos>	notice ( claire , alice ) <eos>
yvette knows alice <eos>	know ( yvettte , alice ) <eos>	know ( yvettte , alice ) <eos>
katherine meets alice <eos>	meet ( katherine , alice ) <eos>	meet ( katherine , alice ) <eos>
isla likes alice <eos>	like ( isla , alice ) <eos>	like ( isla , alice ) <eos>
john likes alice <eos>	like ( john , alice ) <eos>	like ( john , alice ) <eos>
neha dislikes alice <eos>	dislike ( neha , alice ) <eos>	dislike ( neha , alice ) <eos>
neha meets alice <eos>	meet ( neha , alice ) <eos>	meet ( neha , alice ) <eos>
katherine notices alice <eos>	notice ( katherine , alice ) <eos>	notice ( katherine , alice ) <eos>
xerxes dislikes alice <eos>	dislike ( xerxes , alice ) <eos>	dislike ( xerxes , alice ) <eos>
samuel notices alice <eos>	notice ( samuel , alice ) <eos>	notice ( samuel , alice ) <eos>
tracy throws alice <eos>	throw ( tracy , alice ) <eos>	throw ( tracy , alice ) <eos>
patricia sees alice <eos>	see ( patricia , alice ) <eos>	see ( patricia , alice ) <eos>
katherine dislikes alice <eos>	dislike ( katherine , alice ) <eos>	dislike ( katherine , alice ) <eos>
grace meets alice <eos>	meet ( grace , alice ) <eos>	meet ( grace , alice ) <eos>
oswald meets alice <eos>	meet ( oswald , alice ) <eos>	meet ( oswald , alice ) <eos>
lewis notices alice <eos>	notice ( lewis , alice ) <eos>	notice ( lewis , alice ) <eos>
eliza likes alice <eos>	like ( eliza , alice ) <eos>	like ( eliza , alice ) <eos>
john sees alice <eos>	see ( john , alice ) <eos>	see ( john , alice ) <eos>
alice sees alice <eos>	see ( alice , alice ) <eos>	see ( alice , alice ) <eos>
patricia throws alice <eos>	throw ( patricia , alice ) <eos>	throw ( patricia , alice ) <eos>
winnifred dislikes alice <eos>	dislike ( winnifred , alice ) <eos>	dislike ( winnifred , alice ) <eos>
xerxes notices alice <eos>	notice ( xerxes , alice ) <eos>	notice ( xerxes , alice ) <eos>
isla sees alice <eos>	see ( isla , alice ) <eos>	see ( isla , alice ) <eos>
margaret notices alice <eos>	notice ( margaret , alice ) <eos>	notice ( margaret , alice ) <eos>
francis meets alice <eos>	meet ( francis , alice ) <eos>	meet ( francis , alice ) <eos>
bob throws alice <eos>	throw ( bob , alice ) <eos>	throw ( bob , alice ) <eos>
xerxes sees alice <eos>	see ( xerxes , alice ) <eos>	see ( xerxes , alice ) <eos>
ursula notices alice <eos>	notice ( ursula , alice ) <eos>	notice ( ursula , alice ) <eos>
rachael sees alice <eos>	see ( rachael , alice ) <eos>	see ( rachael , alice ) <eos>
bob sees alice <eos>	see ( bob , alice ) <eos>	see ( bob , alice ) <eos>
xerxes knows alice <eos>	know ( xerxes , alice ) <eos>	know ( xerxes , alice ) <eos>
zelda throws alice <eos>	throw ( zelda , alice ) <eos>	throw ( zelda , alice ) <eos>
bob dislikes alice <eos>	dislike ( bob , alice ) <eos>	dislike ( bob , alice ) <eos>
yvette likes alice <eos>	like ( yvettte , alice ) <eos>	like ( yvettte , alice ) <eos>
lewis sees alice <eos>	see ( lewis , alice ) <eos>	see ( lewis , alice ) <eos>
victor throws alice <eos>	throw ( victor , alice ) <eos>	throw ( victor , alice ) <eos>
alice throws alice <eos>	throw ( alice , alice ) <eos>	throw ( alice , alice ) <eos>
rachael knows alice <eos>	know ( rachael , alice ) <eos>	know ( rachael , alice ) <eos>
victor likes alice <eos>	like ( victor , alice ) <eos>	like ( victor , alice ) <eos>
oswald knows alice <eos>	know ( oswald , alice ) <eos>	know ( oswald , alice ) <eos>
samuel dislikes alice <eos>	dislike ( samuel , alice ) <eos>	dislike ( samuel , alice ) <eos>
samuel knows alice <eos>	know ( samuel , alice ) <eos>	know ( samuel , alice ) <eos>
margaret knows alice <eos>	know ( margaret , alice ) <eos>	know ( margaret , alice ) <eos>
francis sees alice <eos>	see ( francis , alice ) <eos>	see ( francis , alice ) <eos>
quinn knows alice <eos>	know ( quinn , alice ) <eos>	know ( quinn , alice ) <eos>
henry likes alice <eos>	like ( henry , alice ) <eos>	like ( henry , alice ) <eos>
quinn notices alice <eos>	notice ( quinn , alice ) <eos>	notice ( quinn , alice ) <eos>
zelda dislikes alice <eos>	dislike ( zelda , alice ) <eos>	dislike ( zelda , alice ) <eos>
yvette notices alice <eos>	notice ( yvettte , alice ) <eos>	notice ( yvettte , alice ) <eos>
lewis dislikes alice <eos>	dislike ( lewis , alice ) <eos>	dislike ( lewis , alice ) <eos>
tracy sees alice <eos>	see ( tracy , alice ) <eos>	see ( tracy , alice ) <eos>
oswald likes alice <eos>	like ( oswald , alice ) <eos>	like ( oswald , alice ) <eos>
henry knows alice <eos>	know ( henry , alice ) <eos>	know ( henry , alice ) <eos>
daniel throws alice <eos>	throw ( daniel , alice ) <eos>	throw ( daniel , alice ) <eos>
henry throws alice <eos>	throw ( henry , alice ) <eos>	throw ( henry , alice ) <eos>
tracy meets alice <eos>	meet ( tracy , alice ) <eos>	meet ( tracy , alice ) <eos>
tracy likes alice <eos>	like ( tracy , alice ) <eos>	like ( tracy , alice ) <eos>
francis dislikes alice <eos>	dislike ( francis , alice ) <eos>	dislike ( francis , alice ) <eos>
daniel likes alice <eos>	like ( daniel , alice ) <eos>	like ( daniel , alice ) <eos>
winnifred sees alice <eos>	see ( winnifred , alice ) <eos>	see ( winnifred , alice ) <eos>
claire likes alice <eos>	like ( claire , alice ) <eos>	like ( claire , alice ) <eos>
john knows alice <eos>	know ( john , alice ) <eos>	know ( john , alice ) <eos>
winnifred notices alice <eos>	notice ( winnifred , alice ) <eos>	notice ( winnifred , alice ) <eos>
samuel meets alice <eos>	meet ( samuel , alice ) <eos>	meet ( samuel , alice ) <eos>
john meets alice <eos>	meet ( john , alice ) <eos>	meet ( john , alice ) <eos>
alice notices alice <eos>	notice ( alice , alice ) <eos>	notice ( alice , alice ) <eos>
daniel notices alice <eos>	notice ( daniel , alice ) <eos>	notice ( daniel , alice ) <eos>
claire meets alice <eos>	meet ( claire , alice ) <eos>	meet ( claire , alice ) <eos>
samuel sees alice <eos>	see ( samuel , alice ) <eos>	see ( samuel , alice ) <eos>
alice dislikes alice <eos>	dislike ( alice , alice ) <eos>	dislike ( alice , alice ) <eos>
henry sees alice <eos>	see ( henry , alice ) <eos>	see ( henry , alice ) <eos>
patricia dislikes alice <eos>	dislike ( patricia , alice ) <eos>	dislike ( patricia , alice ) <eos>
isla notices alice <eos>	notice ( isla , alice ) <eos>	notice ( isla , alice ) <eos>
alice meets alice <eos>	meet ( alice , alice ) <eos>	meet ( alice , alice ) <eos>
francis knows alice <eos>	know ( francis , alice ) <eos>	know ( francis , alice ) <eos>
patricia likes alice <eos>	like ( patricia , alice ) <eos>	like ( patricia , alice ) <eos>
patricia knows alice <eos>	know ( patricia , alice ) <eos>	know ( patricia , alice ) <eos>
grace notices alice <eos>	notice ( grace , alice ) <eos>	notice ( grace , alice ) <eos>
ursula likes alice <eos>	like ( ursula , alice ) <eos>	like ( ursula , alice ) <eos>
katherine sees alice <eos>	see ( katherine , alice ) <eos>	see ( katherine , alice ) <eos>
eliza dislikes alice <eos>	dislike ( eliza , alice ) <eos>	dislike ( eliza , alice ) <eos>
ursula sees alice <eos>	see ( ursula , alice ) <eos>	see ( ursula , alice ) <eos>
henry notices alice <eos>	notice ( henry , alice ) <eos>	notice ( henry , alice ) <eos>
john notices alice <eos>	notice ( john , alice ) <eos>	notice ( john , alice ) <eos>
xerxes likes alice <eos>	like ( xerxes , alice ) <eos>	like ( xerxes , alice ) <eos>
patricia meets alice <eos>	meet ( patricia , alice ) <eos>	meet ( patricia , alice ) <eos>
yvette meets alice <eos>	meet ( yvettte , alice ) <eos>	meet ( yvettte , alice ) <eos>
neha sees alice <eos>	see ( neha , alice ) <eos>	see ( neha , alice ) <eos>
tracy notices alice <eos>	notice ( tracy , alice ) <eos>	notice ( tracy , alice ) <eos>
margaret dislikes alice <eos>	dislike ( margaret , alice ) <eos>	dislike ( margaret , alice ) <eos>
isla dislikes alice <eos>	dislike ( isla , alice ) <eos>	dislike ( isla , alice ) <eos>
claire dislikes alice <eos>	dislike ( claire , alice ) <eos>	dislike ( claire , alice ) <eos>
katherine likes alice <eos>	like ( katherine , alice ) <eos>	like ( katherine , alice ) <eos>
samuel likes alice <eos>	like ( samuel , alice ) <eos>	like ( samuel , alice ) <eos>
john dislikes alice <eos>	dislike ( john , alice ) <eos>	dislike ( john , alice ) <eos>
neha notices alice <eos>	notice ( neha , alice ) <eos>	notice ( neha , alice ) <eos>
quinn meets alice <eos>	meet ( quinn , alice ) <eos>	meet ( quinn , alice ) <eos>
bob meets alice <eos>	meet ( bob , alice ) <eos>	meet ( bob , alice ) <eos>
isla meets alice <eos>	meet ( isla , alice ) <eos>	meet ( isla , alice ) <eos>
ursula knows alice <eos>	know ( ursula , alice ) <eos>	know ( ursula , alice ) <eos>
ursula dislikes alice <eos>	dislike ( ursula , alice ) <eos>	dislike ( ursula , alice ) <eos>
isla throws alice <eos>	throw ( isla , alice ) <eos>	throw ( isla , alice ) <eos>
zelda notices alice <eos>	notice ( zelda , alice ) <eos>	notice ( zelda , alice ) <eos>
rachael meets alice <eos>	meet ( rachael , alice ) <eos>	meet ( rachael , alice ) <eos>
claire throws alice <eos>	throw ( claire , alice ) <eos>	throw ( claire , alice ) <eos>
neha knows alice <eos>	know ( neha , alice ) <eos>	know ( neha , alice ) <eos>
oswald notices alice <eos>	notice ( oswald , alice ) <eos>	notice ( oswald , alice ) <eos>
xerxes throws alice <eos>	throw ( xerxes , alice ) <eos>	throw ( xerxes , alice ) <eos>
victor knows alice <eos>	know ( victor , alice ) <eos>	know ( victor , alice ) <eos>
claire sees alice <eos>	see ( claire , alice ) <eos>	see ( claire , alice ) <eos>
patricia notices alice <eos>	notice ( patricia , alice ) <eos>	notice ( patricia , alice ) <eos>
zelda likes alice <eos>	like ( zelda , alice ) <eos>	like ( zelda , alice ) <eos>
rachael likes alice <eos>	like ( rachael , alice ) <eos>	like ( rachael , alice ) <eos>
rachael notices alice <eos>	notice ( rachael , alice ) <eos>	notice ( rachael , alice ) <eos>
grace knows alice <eos>	know ( grace , alice ) <eos>	know ( grace , alice ) <eos>
winnifred meets alice <eos>	meet ( winnifred , alice ) <eos>	meet ( winnifred , alice ) <eos>
