source	target	prediction
grace knows alice <eos>	know ( grace , alice ) <eos>	know ( grace , alice ) <eos>
samuel knows alice <eos>	know ( samuel , alice ) <eos>	know ( samuel , alice ) <eos>
patricia likes alice <eos>	like ( patricia , alice ) <eos>	like ( patricia , alice ) <eos>
neha meets alice <eos>	meet ( neha , alice ) <eos>	meet ( neha , alice ) <eos>
isla knows alice <eos>	know ( isla , alice ) <eos>	know ( isla , alice ) <eos>
tracy dislikes alice <eos>	dislike ( tracy , alice ) <eos>	dislike ( tracy , alice ) <eos>
lewis throws alice <eos>	throw ( lewis , alice ) <eos>	throw ( lewis , alice ) <eos>
isla likes alice <eos>	like ( isla , alice ) <eos>	like ( isla , alice ) <eos>
katherine likes alice <eos>	like ( katherine , alice ) <eos>	like ( katherine , alice ) <eos>
grace likes alice <eos>	like ( grace , alice ) <eos>	like ( grace , alice ) <eos>
winnifred notices alice <eos>	notice ( winnifred , alice ) <eos>	notice ( winnifred , alice ) <eos>
patricia throws alice <eos>	throw ( patricia , alice ) <eos>	throw ( patricia , alice ) <eos>
francis notices alice <eos>	notice ( francis , alice ) <eos>	notice ( francis , alice ) <eos>
yvette meets alice <eos>	meet ( yvettte , alice ) <eos>	meet ( yvettte , alice ) <eos>
winnifred meets alice <eos>	meet ( winnifred , alice ) <eos>	meet ( winnifred , alice ) <eos>
grace dislikes alice <eos>	dislike ( grace , alice ) <eos>	dislike ( grace , alice ) <eos>
alice sees alice <eos>	see ( alice , alice ) <eos>	see ( alice , alice ) <eos>
tracy notices alice <eos>	notice ( tracy , alice ) <eos>	notice ( tracy , alice ) <eos>
francis meets alice <eos>	meet ( francis , alice ) <eos>	meet ( francis , alice ) <eos>
quinn dislikes alice <eos>	dislike ( quinn , alice ) <eos>	dislike ( quinn , alice ) <eos>
lewis likes alice <eos>	like ( lewis , alice ) <eos>	like ( lewis , alice ) <eos>
isla throws alice <eos>	throw ( isla , alice ) <eos>	throw ( isla , alice ) <eos>
