source	transformation	target
Grace sees herself - Grace knows Bob + Claire knows Bob	sem	see ( claire , grace )
Grace meets herself - Grace knows Bob + Claire knows Bob	sem	meet ( claire , grace )
Grace likes herself - Grace knows Bob + Claire knows Bob	sem	like ( claire , grace )
Grace dislikes herself - Grace knows Bob + Claire knows Bob	sem	dislike ( claire , grace )
Grace throws herself - Grace knows Bob + Claire knows Bob	sem	throw ( claire , grace )
Grace notices herself - Grace knows Bob + Claire knows Bob	sem	notice ( claire , grace )
Grace knows herself - Grace sees Bob + Claire sees Bob	sem	know ( claire , grace )
Grace sees herself - Grace knows John + Neha knows John	sem	see ( neha , grace )
Grace meets herself - Grace knows John + Neha knows John	sem	meet ( neha , grace )
Grace likes herself - Grace knows John + Neha knows John	sem	like ( neha , grace )
Grace dislikes herself - Grace knows John + Neha knows John	sem	dislike ( neha , grace )
Grace throws herself - Grace knows John + Neha knows John	sem	throw ( neha , grace )
Grace notices herself - Grace knows John + Neha knows John	sem	notice ( neha , grace )
Grace knows herself - Grace sees John + Neha sees John	sem	know ( neha , grace )
Grace sees herself - Grace knows Xerxes + Isla knows Xerxes	sem	see ( isla , grace )
Grace meets herself - Grace knows Xerxes + Isla knows Xerxes	sem	meet ( isla , grace )
Grace likes herself - Grace knows Xerxes + Isla knows Xerxes	sem	like ( isla , grace )
Grace dislikes herself - Grace knows Xerxes + Isla knows Xerxes	sem	dislike ( isla , grace )
Grace throws herself - Grace knows Xerxes + Isla knows Xerxes	sem	throw ( isla , grace )
Grace notices herself - Grace knows Xerxes + Isla knows Xerxes	sem	notice ( isla , grace )
Grace knows herself - Grace sees Xerxes + Isla sees Xerxes	sem	know ( isla , grace )
Grace sees herself - Grace knows Henry + Eliza knows Henry	sem	see ( eliza , grace )
Grace meets herself - Grace knows Henry + Eliza knows Henry	sem	meet ( eliza , grace )
Grace likes herself - Grace knows Henry + Eliza knows Henry	sem	like ( eliza , grace )
Grace dislikes herself - Grace knows Henry + Eliza knows Henry	sem	dislike ( eliza , grace )
Grace throws herself - Grace knows Henry + Eliza knows Henry	sem	throw ( eliza , grace )
Grace notices herself - Grace knows Henry + Eliza knows Henry	sem	notice ( eliza , grace )
Grace knows herself - Grace sees Henry + Eliza sees Henry	sem	know ( eliza , grace )
