source	transformation	target
Alice sees herself - Alice knows Bob + Claire knows Bob	sem	see ( claire , alice )
Alice meets herself - Alice knows Bob + Claire knows Bob	sem	meet ( claire , alice )
Alice likes herself - Alice knows Bob + Claire knows Bob	sem	like ( claire , alice )
Alice dislikes herself - Alice knows Bob + Claire knows Bob	sem	dislike ( claire , alice )
Alice throws herself - Alice knows Bob + Claire knows Bob	sem	throw ( claire , alice )
Alice notices herself - Alice knows Bob + Claire knows Bob	sem	notice ( claire , alice )
Alice knows herself - Alice sees Bob + Claire sees Bob	sem	know ( claire , alice )
Alice sees herself - Alice knows John + Neha knows John	sem	see ( neha , alice )
Alice meets herself - Alice knows John + Neha knows John	sem	meet ( neha , alice )
Alice likes herself - Alice knows John + Neha knows John	sem	like ( neha , alice )
Alice dislikes herself - Alice knows John + Neha knows John	sem	dislike ( neha , alice )
Alice throws herself - Alice knows John + Neha knows John	sem	throw ( neha , alice )
Alice notices herself - Alice knows John + Neha knows John	sem	notice ( neha , alice )
Alice knows herself - Alice sees John + Neha sees John	sem	know ( neha , alice )
Alice sees herself - Alice knows Xerxes + Isla knows Xerxes	sem	see ( isla , alice )
Alice meets herself - Alice knows Xerxes + Isla knows Xerxes	sem	meet ( isla , alice )
Alice likes herself - Alice knows Xerxes + Isla knows Xerxes	sem	like ( isla , alice )
Alice dislikes herself - Alice knows Xerxes + Isla knows Xerxes	sem	dislike ( isla , alice )
Alice throws herself - Alice knows Xerxes + Isla knows Xerxes	sem	throw ( isla , alice )
Alice notices herself - Alice knows Xerxes + Isla knows Xerxes	sem	notice ( isla , alice )
Alice knows herself - Alice sees Xerxes + Isla sees Xerxes	sem	know ( isla , alice )
Alice sees herself - Alice knows Henry + Eliza knows Henry	sem	see ( eliza , alice )
Alice meets herself - Alice knows Henry + Eliza knows Henry	sem	meet ( eliza , alice )
Alice likes herself - Alice knows Henry + Eliza knows Henry	sem	like ( eliza , alice )
Alice dislikes herself - Alice knows Henry + Eliza knows Henry	sem	dislike ( eliza , alice )
Alice throws herself - Alice knows Henry + Eliza knows Henry	sem	throw ( eliza , alice )
Alice notices herself - Alice knows Henry + Eliza knows Henry	sem	notice ( eliza , alice )
Alice knows herself - Alice sees Henry + Eliza sees Henry	sem	know ( eliza , alice )
