source	transformation	target
Bob by Mary runs	sem	 run ( bob ) & by ( bob , mary ) 
Alice by Henry runs	sem	 run ( alice ) & by ( alice , henry ) 
Thomas behind Quinn runs	sem	 run ( thomas ) & behind ( thomas , quinn ) 
Leo behind Sarah sees John	sem	 see ( leo , john ) & behind ( leo , sarah ) 
Sarah by Xavier sees Ynez	sem	 see ( sarah , ynez ) & by ( sarah , xavier ) 
Frank sees Sarah	sem	see ( frank , sarah )
Ellie behind Olivia sees herself	sem	 see ( ellie , ellie ) & behind ( ellie , olivia ) 
Claire behind Willow sees herself	sem	 see ( claire , claire ) & behind ( claire , willow ) 
Zack sees himself	sem	see ( zack , zack )
Bob beside Victor sees himself	sem	 see ( bob , bob ) & beside ( bob , victor ) 
Ellie runs	sem	run ( ellie )
Isla sees Ellie	sem	see ( isla , ellie )
Willow sees Zack	sem	see ( willow , zack )
Mary sees Ellie	sem	see ( mary , ellie )
Ynez by Bob sees Sarah	sem	 see ( ynez , sarah ) & by ( ynez , bob ) 
Zack runs	sem	run ( zack )
Daniel runs	sem	run ( daniel )
Leo runs	sem	run ( leo )
Bob by Henry sees himself	sem	 see ( bob , bob ) & by ( bob , henry ) 
Alice runs	sem	run ( alice )
Claire beside Xavier runs	sem	 run ( claire ) & beside ( claire , xavier ) 
Mary by Frank sees Quinn	sem	 see ( mary , quinn ) & by ( mary , frank ) 
Leo runs	sem	run ( leo )
Willow beside John sees Henry	sem	 see ( willow , henry ) & beside ( willow , john ) 
Victor behind Olivia sees Ynez	sem	 see ( victor , ynez ) & behind ( victor , olivia ) 
Grace sees herself	sem	see ( grace , grace )
Ursa sees Mary	sem	see ( ursa , mary )
Peter sees Ellie	sem	see ( peter , ellie )
Isla runs	sem	run ( isla )
John beside Thomas runs	sem	 run ( john ) & beside ( john , thomas ) 
Sarah sees herself	sem	see ( sarah , sarah )
Willow beside Leo sees herself	sem	 see ( willow , willow ) & beside ( willow , leo ) 
Henry runs	sem	run ( henry )
Xavier near Peter sees John	sem	 see ( xavier , john ) & near ( xavier , peter ) 
Olivia runs	sem	run ( olivia )
Alice runs	sem	run ( alice )
Zack runs	sem	run ( zack )
Ynez sees Isla	sem	see ( ynez , isla )
Claire sees Ursa	sem	see ( claire , ursa )
Ron sees Claire	sem	see ( ron , claire )
Mary behind Ned sees Victor	sem	 see ( mary , victor ) & behind ( mary , ned ) 
Ynez beside Ynez sees herself	sem	 see ( ynez , ynez ) & beside ( ynez , ynez ) 
Ellie sees Thomas	sem	see ( ellie , thomas )
Daniel sees Olivia	sem	see ( daniel , olivia )
Leo by Kate sees Sarah	sem	 see ( leo , sarah ) & by ( leo , kate ) 
Thomas by Zack sees Daniel	sem	 see ( thomas , daniel ) & by ( thomas , zack ) 
Willow sees herself	sem	see ( willow , willow )
John near Olivia runs	sem	 run ( john ) & near ( john , olivia ) 
Peter beside Henry runs	sem	 run ( peter ) & beside ( peter , henry ) 
Daniel sees Leo	sem	see ( daniel , leo )
Olivia near Kate sees Olivia	sem	 see ( olivia , olivia ) & near ( olivia , kate ) 
Xavier near Thomas sees John	sem	 see ( xavier , john ) & near ( xavier , thomas ) 
Ynez sees herself	sem	see ( ynez , ynez )
Willow near Olivia sees Daniel	sem	 see ( willow , daniel ) & near ( willow , olivia ) 
Isla runs	sem	run ( isla )
Henry runs	sem	run ( henry )
Sarah runs	sem	run ( sarah )
John runs	sem	run ( john )
Peter sees himself	sem	see ( peter , peter )
Ellie behind John runs	sem	 run ( ellie ) & behind ( ellie , john ) 
Kate beside Victor runs	sem	 run ( kate ) & beside ( kate , victor ) 
Ursa sees herself	sem	see ( ursa , ursa )
Sarah near Isla sees Ron	sem	 see ( sarah , ron ) & near ( sarah , isla ) 
Grace beside Leo sees herself	sem	 see ( grace , grace ) & beside ( grace , leo ) 
Peter sees himself	sem	see ( peter , peter )
Peter by Kate sees himself	sem	 see ( peter , peter ) & by ( peter , kate ) 
Zack near Bob sees Ynez	sem	 see ( zack , ynez ) & near ( zack , bob ) 
Kate near Ursa sees Zack	sem	 see ( kate , zack ) & near ( kate , ursa ) 
Thomas by Quinn sees Sarah	sem	 see ( thomas , sarah ) & by ( thomas , quinn ) 
Ellie sees Frank	sem	see ( ellie , frank )
Frank behind Henry sees Isla	sem	 see ( frank , isla ) & behind ( frank , henry ) 
Kate by Quinn sees Sarah	sem	 see ( kate , sarah ) & by ( kate , quinn ) 
Xavier near Zack runs	sem	 run ( xavier ) & near ( xavier , zack ) 
Isla sees Alice	sem	see ( isla , alice )
Peter runs	sem	run ( peter )
Sarah sees herself	sem	see ( sarah , sarah )
Ellie sees Willow	sem	see ( ellie , willow )
Peter sees Victor	sem	see ( peter , victor )
Daniel sees himself	sem	see ( daniel , daniel )
Mary beside Peter runs	sem	 run ( mary ) & beside ( mary , peter ) 
Alice by Olivia sees herself	sem	 see ( alice , alice ) & by ( alice , olivia ) 
Ned behind Isla sees Mary	sem	 see ( ned , mary ) & behind ( ned , isla ) 
Ron beside Grace runs	sem	 run ( ron ) & beside ( ron , grace ) 
Xavier sees himself	sem	see ( xavier , xavier )
Victor sees Mary	sem	see ( victor , mary )
Kate behind Ned sees Peter	sem	 see ( kate , peter ) & behind ( kate , ned ) 
Ned by Frank runs	sem	 run ( ned ) & by ( ned , frank ) 
Quinn near Peter runs	sem	 run ( quinn ) & near ( quinn , peter ) 
Willow runs	sem	run ( willow )
Xavier runs	sem	run ( xavier )
Willow by John sees Olivia	sem	 see ( willow , olivia ) & by ( willow , john ) 
Zack near Isla sees Mary	sem	 see ( zack , mary ) & near ( zack , isla ) 
Ursa by Mary runs	sem	 run ( ursa ) & by ( ursa , mary ) 
Sarah behind Victor sees herself	sem	 see ( sarah , sarah ) & behind ( sarah , victor ) 
Frank by Willow sees Alice	sem	 see ( frank , alice ) & by ( frank , willow ) 
Ned runs	sem	run ( ned )
Quinn beside Ursa sees Leo	sem	 see ( quinn , leo ) & beside ( quinn , ursa ) 
Ursa sees John	sem	see ( ursa , john )
Leo beside Frank runs	sem	 run ( leo ) & beside ( leo , frank ) 
Ned runs	sem	run ( ned )
Olivia behind Olivia runs	sem	 run ( olivia ) & behind ( olivia , olivia ) 
Claire behind Kate sees herself	sem	 see ( claire , claire ) & behind ( claire , kate ) 
Thomas sees Peter	sem	see ( thomas , peter )
Ynez by Mary runs	sem	 run ( ynez ) & by ( ynez , mary ) 
Ron runs	sem	run ( ron )
Xavier sees Ned	sem	see ( xavier , ned )
Sarah behind Leo sees Quinn	sem	 see ( sarah , quinn ) & behind ( sarah , leo ) 
Bob sees Sarah	sem	see ( bob , sarah )
Isla by Daniel sees Leo	sem	 see ( isla , leo ) & by ( isla , daniel ) 
Sarah runs	sem	run ( sarah )
Olivia runs	sem	run ( olivia )
Xavier runs	sem	run ( xavier )
Henry beside Thomas sees Ynez	sem	 see ( henry , ynez ) & beside ( henry , thomas ) 
Ron sees Frank	sem	see ( ron , frank )
Zack runs	sem	run ( zack )
Xavier runs	sem	run ( xavier )
Alice behind Ynez sees herself	sem	 see ( alice , alice ) & behind ( alice , ynez ) 
Ned beside Ynez runs	sem	 run ( ned ) & beside ( ned , ynez ) 
Claire runs	sem	run ( claire )
Kate behind Isla runs	sem	 run ( kate ) & behind ( kate , isla ) 
Leo runs	sem	run ( leo )
Olivia runs	sem	run ( olivia )
Daniel beside Xavier sees Henry	sem	 see ( daniel , henry ) & beside ( daniel , xavier ) 
Victor sees himself	sem	see ( victor , victor )
Ned by Ellie sees himself	sem	 see ( ned , ned ) & by ( ned , ellie ) 
Leo by Kate runs	sem	 run ( leo ) & by ( leo , kate ) 
Peter sees himself	sem	see ( peter , peter )
Victor sees Alice	sem	see ( victor , alice )
Peter sees Daniel	sem	see ( peter , daniel )
Victor runs	sem	run ( victor )
Ursa beside Alice runs	sem	 run ( ursa ) & beside ( ursa , alice ) 
Xavier behind Leo sees himself	sem	 see ( xavier , xavier ) & behind ( xavier , leo ) 
John runs	sem	run ( john )
Sarah beside Ursa runs	sem	 run ( sarah ) & beside ( sarah , ursa ) 
Willow by Ellie runs	sem	 run ( willow ) & by ( willow , ellie ) 
Bob behind Quinn sees Kate	sem	 see ( bob , kate ) & behind ( bob , quinn ) 
Ellie near Olivia sees John	sem	 see ( ellie , john ) & near ( ellie , olivia ) 
Xavier runs	sem	run ( xavier )
John runs	sem	run ( john )
Xavier by Leo sees Ursa	sem	 see ( xavier , ursa ) & by ( xavier , leo ) 
Quinn by Willow sees herself	sem	 see ( quinn , quinn ) & by ( quinn , willow ) 
Willow by Victor sees Thomas	sem	 see ( willow , thomas ) & by ( willow , victor ) 
Ynez behind Ellie sees herself	sem	 see ( ynez , ynez ) & behind ( ynez , ellie ) 
Ron by Alice runs	sem	 run ( ron ) & by ( ron , alice ) 
Mary sees Grace	sem	see ( mary , grace )
Thomas sees Peter	sem	see ( thomas , peter )
Ellie behind Thomas runs	sem	 run ( ellie ) & behind ( ellie , thomas ) 
Alice by Ron sees Ned	sem	 see ( alice , ned ) & by ( alice , ron ) 
Ron sees himself	sem	see ( ron , ron )
Olivia runs	sem	run ( olivia )
Grace sees Thomas	sem	see ( grace , thomas )
Ron beside Mary runs	sem	 run ( ron ) & beside ( ron , mary ) 
Kate runs	sem	run ( kate )
Sarah sees Zack	sem	see ( sarah , zack )
Claire near Ron sees herself	sem	 see ( claire , claire ) & near ( claire , ron ) 
Ned beside Ursa runs	sem	 run ( ned ) & beside ( ned , ursa ) 
Victor sees Grace	sem	see ( victor , grace )
Bob behind Victor runs	sem	 run ( bob ) & behind ( bob , victor ) 
Peter sees Kate	sem	see ( peter , kate )
Sarah by Ellie runs	sem	 run ( sarah ) & by ( sarah , ellie ) 
Grace beside Ursa runs	sem	 run ( grace ) & beside ( grace , ursa ) 
Xavier beside Bob runs	sem	 run ( xavier ) & beside ( xavier , bob ) 
