source	target	prediction
oswald knows alice <eos>	know ( oswald , alice ) <eos>	know ( alice , oswald ) <eos>
zelda likes alice <eos>	like ( zelda , alice ) <eos>	like ( zelda , zelda ) <eos>
tracy knows alice <eos>	know ( tracy , alice ) <eos>	know ( alice , tracy ) <eos>
quinn likes alice <eos>	like ( quinn , alice ) <eos>	like ( quinn , quinn ) <eos>
daniel notices alice <eos>	notice ( daniel , alice ) <eos>	notice ( daniel , daniel ) <eos>
xerxes likes alice <eos>	like ( xerxes , alice ) <eos>	like ( alice , xerxes ) <eos>
lewis notices alice <eos>	notice ( lewis , alice ) <eos>	notice ( alice , lewis ) <eos>
claire knows alice <eos>	know ( claire , alice ) <eos>	know ( alice , claire ) <eos>
patricia knows alice <eos>	know ( patricia , alice ) <eos>	know ( patricia , patricia ) <eos>
katherine notices alice <eos>	notice ( katherine , alice ) <eos>	notice ( katherine , katherine ) <eos>
samuel notices alice <eos>	notice ( samuel , alice ) <eos>	notice ( samuel , samuel ) <eos>
tracy dislikes alice <eos>	dislike ( tracy , alice ) <eos>	dislike ( alice , tracy ) <eos>
tracy likes alice <eos>	like ( tracy , alice ) <eos>	like ( alice , tracy ) <eos>
patricia throws alice <eos>	throw ( patricia , alice ) <eos>	throw ( patricia , patricia ) <eos>
zelda dislikes alice <eos>	dislike ( zelda , alice ) <eos>	dislike ( zelda , zelda ) <eos>
francis sees alice <eos>	see ( francis , alice ) <eos>	see ( francis , francis ) <eos>
henry likes alice <eos>	like ( henry , alice ) <eos>	like ( alice , henry ) <eos>
isla throws alice <eos>	throw ( isla , alice ) <eos>	throw ( isla , isla ) <eos>
rachael meets alice <eos>	meet ( rachael , alice ) <eos>	meet ( rachael , rachael ) <eos>
rachael throws alice <eos>	throw ( rachael , alice ) <eos>	throw ( rachael , rachael ) <eos>
john notices alice <eos>	notice ( john , alice ) <eos>	notice ( alice , john ) <eos>
grace throws alice <eos>	throw ( grace , alice ) <eos>	throw ( grace , grace ) <eos>
samuel meets alice <eos>	meet ( samuel , alice ) <eos>	meet ( samuel , samuel ) <eos>
henry notices alice <eos>	notice ( henry , alice ) <eos>	notice ( alice , henry ) <eos>
claire meets alice <eos>	meet ( claire , alice ) <eos>	meet ( alice , claire ) <eos>
winnifred sees alice <eos>	see ( winnifred , alice ) <eos>	see ( alice , winnifred ) <eos>
oswald throws alice <eos>	throw ( oswald , alice ) <eos>	throw ( alice , oswald ) <eos>
grace meets alice <eos>	meet ( grace , alice ) <eos>	meet ( grace , grace ) <eos>
francis likes alice <eos>	like ( francis , alice ) <eos>	like ( alice , francis ) <eos>
lewis throws alice <eos>	throw ( lewis , alice ) <eos>	throw ( lewis , lewis ) <eos>
victor meets alice <eos>	meet ( victor , alice ) <eos>	meet ( victor , victor ) <eos>
katherine throws alice <eos>	throw ( katherine , alice ) <eos>	throw ( katherine , katherine ) <eos>
patricia notices alice <eos>	notice ( patricia , alice ) <eos>	notice ( patricia , patricia ) <eos>
yvette throws alice <eos>	throw ( yvettte , alice ) <eos>	throw ( yvettte , yvettte ) <eos>
john likes alice <eos>	like ( john , alice ) <eos>	like ( alice , john ) <eos>
eliza notices alice <eos>	notice ( eliza , alice ) <eos>	notice ( eliza , eliza ) <eos>
patricia dislikes alice <eos>	dislike ( patricia , alice ) <eos>	dislike ( alice , patricia ) <eos>
patricia sees alice <eos>	see ( patricia , alice ) <eos>	see ( patricia , patricia ) <eos>
zelda throws alice <eos>	throw ( zelda , alice ) <eos>	throw ( zelda , zelda ) <eos>
victor knows alice <eos>	know ( victor , alice ) <eos>	know ( alice , victor ) <eos>
henry knows alice <eos>	know ( henry , alice ) <eos>	know ( alice , henry ) <eos>
xerxes throws alice <eos>	throw ( xerxes , alice ) <eos>	throw ( alice , xerxes ) <eos>
winnifred knows alice <eos>	know ( winnifred , alice ) <eos>	know ( alice , winnifred ) <eos>
oswald likes alice <eos>	like ( oswald , alice ) <eos>	like ( alice , oswald ) <eos>
claire throws alice <eos>	throw ( claire , alice ) <eos>	throw ( alice , claire ) <eos>
ursula meets alice <eos>	meet ( ursula , alice ) <eos>	meet ( ursula , ursula ) <eos>
neha sees alice <eos>	see ( neha , alice ) <eos>	see ( neha , neha ) <eos>
rachael dislikes alice <eos>	dislike ( rachael , alice ) <eos>	dislike ( rachael , rachael ) <eos>
