source	target	prediction
francis dances	dance ( francis )	dance ( francis )
eliza sings	sing ( eliza )	sing ( eliza )
eliza runs	run ( eliza )	run ( eliza )
eliza eats	eat ( eliza )	eat ( eliza )
bob slumbers	slumber ( bob )	slumber ( bob )
margaret runs	run ( margaret )	run ( margaret )
katherine flies	fly ( katherine )	fly ( katherine )
henry slumbers	slumber ( henry )	slumber ( henry )
henry walks	walk ( henry )	walk ( henry )
grace sleeps	sleep ( grace )	sleep ( grace )
victor dances	dance ( victor )	dance ( victor )
victor sings	sing ( victor )	sing ( victor )
rachael flies	fly ( rachael )	fly ( rachael )
quinn walks	walk ( quinn )	walk ( quinn )
oswald runs	run ( oswald )	run ( oswald )
yvette flies	fly ( yvettte )	fly ( yvettte )
yvette sleeps	sleep ( yvettte )	sleep ( yvettte )
xerxes walks	walk ( xerxes )	walk ( xerxes )
winnifred sings	sing ( winnifred )	sing ( winnifred )
victor slumbers	slumber ( victor )	slumber ( victor )
alice meets katherine	meet ( alice , katherine )	meet ( alice , katherine )
alice sees tracy	see ( alice , tracy )	see ( alice , tracy )
alice sees neha	see ( alice , neha )	see ( alice , neha )
alice sees margaret	see ( alice , margaret )	see ( alice , margaret )
alice sees alice	see ( alice , alice )	see ( alice , alice )
alice likes winnifred	like ( alice , winnifred )	like ( alice , winnifred )
alice likes margaret	like ( alice , margaret )	like ( alice , margaret )
alice meets victor	meet ( alice , victor )	meet ( alice , victor )
alice meets quinn	meet ( alice , quinn )	meet ( alice , quinn )
alice meets patricia	meet ( alice , patricia )	meet ( alice , patricia )
alice throws yvette	throw ( alice , yvettte )	throw ( alice , yvettte )
alice throws tracy	throw ( alice , tracy )	throw ( alice , tracy )
alice throws margaret	throw ( alice , margaret )	throw ( alice , margaret )
alice dislikes tracy	dislike ( alice , tracy )	dislike ( alice , tracy )
alice dislikes margaret	dislike ( alice , margaret )	dislike ( alice , margaret )
alice knows claire	know ( alice , claire )	know ( alice , claire )
alice knows bob	know ( alice , bob )	know ( alice , bob )
alice notices oswald	notice ( alice , oswald )	notice ( alice , oswald )
alice notices francis	notice ( alice , francis )	notice ( alice , francis )
alice notices claire	notice ( alice , claire )	notice ( alice , claire )
alice knows john	know ( alice , john )	know ( alice , john )
alice knows isla	know ( alice , isla )	know ( alice , isla )
alice knows henry	know ( alice , henry )	know ( alice , henry )
alice knows francis	know ( alice , francis )	know ( alice , francis )
alice knows eliza	know ( alice , eliza )	know ( alice , eliza )
alice likes herself	like ( alice , alice )	like ( alice , alice )
alice meets herself	meet ( alice , alice )	meet ( alice , alice )
alice sees herself	see ( alice , alice )	see ( alice , alice )
alice knows zelda	know ( alice , zelda )	know ( alice , zelda )
alice knows patricia	know ( alice , patricia )	know ( alice , patricia )
bob sees quinn	see ( bob , quinn )	see ( bob , quinn )
alice knows herself	know ( alice , alice )	know ( alice , alice )
alice notices herself	notice ( alice , alice )	notice ( alice , alice )
alice throws herself	throw ( alice , alice )	throw ( alice , alice )
alice dislikes herself	dislike ( alice , alice )	dislike ( alice , alice )
bob meets ursula	meet ( bob , ursula )	meet ( bob , ursula )
bob meets isla	meet ( bob , isla )	meet ( bob , isla )
bob meets bob	meet ( bob , bob )	meet ( bob , bob )
bob sees yvette	see ( bob , yvettte )	see ( bob , yvettte )
bob sees ursula	see ( bob , ursula )	see ( bob , ursula )
bob throws claire	throw ( bob , claire )	throw ( bob , claire )
bob dislikes margaret	dislike ( bob , margaret )	dislike ( bob , margaret )
bob likes winnifred	like ( bob , winnifred )	like ( bob , winnifred )
bob likes margaret	like ( bob , margaret )	like ( bob , margaret )
bob likes katherine	like ( bob , katherine )	like ( bob , katherine )
bob notices lewis	notice ( bob , lewis )	notice ( bob , lewis )
bob notices john	notice ( bob , john )	notice ( bob , john )
bob throws victor	throw ( bob , victor )	throw ( bob , victor )
bob throws quinn	throw ( bob , quinn )	throw ( bob , quinn )
bob throws oswald	throw ( bob , oswald )	throw ( bob , oswald )
claire sees xerxes	see ( claire , xerxes )	see ( claire , xerxes )
claire sees isla	see ( claire , isla )	see ( claire , isla )
claire sees grace	see ( claire , grace )	see ( claire , grace )
bob throws himself	throw ( bob , bob )	throw ( bob , bob )
bob dislikes himself	dislike ( bob , bob )	dislike ( bob , bob )
claire dislikes lewis	dislike ( claire , lewis )	dislike ( claire , lewis )
claire likes grace	like ( claire , grace )	like ( claire , grace )
claire likes claire	like ( claire , claire )	like ( claire , claire )
claire likes alice	like ( claire , alice )	like ( claire , alice )
claire meets oswald	meet ( claire , oswald )	meet ( claire , oswald )
claire notices henry	notice ( claire , henry )	notice ( claire , henry )
claire throws zelda	throw ( claire , zelda )	throw ( claire , zelda )
claire throws xerxes	throw ( claire , xerxes )	throw ( claire , xerxes )
claire throws samuel	throw ( claire , samuel )	throw ( claire , samuel )
claire throws eliza	throw ( claire , eliza )	throw ( claire , eliza )
claire knows zelda	know ( claire , zelda )	know ( claire , zelda )
claire knows ursula	know ( claire , ursula )	know ( claire , ursula )
claire knows daniel	know ( claire , daniel )	know ( claire , daniel )
claire knows alice	know ( claire , alice )	know ( claire , alice )
claire notices katherine	notice ( claire , katherine )	notice ( claire , katherine )
daniel sees winnifred	see ( daniel , winnifred )	see ( daniel , winnifred )
daniel sees victor	see ( daniel , victor )	see ( daniel , victor )
daniel sees neha	see ( daniel , neha )	see ( daniel , neha )
daniel sees isla	see ( daniel , isla )	see ( daniel , isla )
claire notices herself	notice ( claire , claire )	notice ( claire , claire )
daniel dislikes rachael	dislike ( daniel , rachael )	dislike ( daniel , rachael )
daniel meets xerxes	meet ( daniel , xerxes )	meet ( daniel , xerxes )
daniel meets lewis	meet ( daniel , lewis )	meet ( daniel , lewis )
daniel meets eliza	meet ( daniel , eliza )	meet ( daniel , eliza )
daniel sees yvette	see ( daniel , yvettte )	see ( daniel , yvettte )
daniel knows claire	know ( daniel , claire )	know ( daniel , claire )
daniel notices margaret	notice ( daniel , margaret )	notice ( daniel , margaret )
daniel notices eliza	notice ( daniel , eliza )	notice ( daniel , eliza )
daniel throws victor	throw ( daniel , victor )	throw ( daniel , victor )
daniel dislikes winnifred	dislike ( daniel , winnifred )	dislike ( daniel , winnifred )
eliza meets henry	meet ( eliza , henry )	meet ( eliza , henry )
eliza meets alice	meet ( eliza , alice )	meet ( eliza , alice )
eliza sees alice	see ( eliza , alice )	see ( eliza , alice )
