source	target	prediction
alice dislikes lewis <eos>	dislike ( alice , lewis ) <eos>	dislike ( lewis , lewis ) <eos>
alice dislikes john <eos>	dislike ( alice , john ) <eos>	dislike ( john ) <eos>
alice notices samuel <eos>	notice ( alice , samuel ) <eos>	notice ( samuel , alice ) <eos>
alice throws isla <eos>	throw ( alice , isla ) <eos>	throw ( isla , isla ) <eos>
alice throws henry <eos>	throw ( alice , henry ) <eos>	throw ( henry , henry ) <eos>
alice meets eliza <eos>	meet ( alice , eliza ) <eos>	meet ( eliza , eliza ) <eos>
alice sees henry <eos>	see ( alice , henry ) <eos>	see ( henry , henry ) <eos>
alice sees lewis <eos>	see ( alice , lewis ) <eos>	see ( lewis , alice ) <eos>
alice notices winnifred <eos>	notice ( alice , winnifred ) <eos>	notice ( winnifred , winnifred ) <eos>
alice sees grace <eos>	see ( alice , grace ) <eos>	see ( grace , grace ) <eos>
alice knows oswald <eos>	know ( alice , oswald ) <eos>	know ( oswald , oswald ) <eos>
alice meets ursula <eos>	meet ( alice , ursula ) <eos>	meet ( ursula , ursula ) <eos>
alice likes herself <eos>	like ( alice , alice ) <eos>	like ( claire , alice ) <eos>
alice notices isla <eos>	notice ( alice , isla ) <eos>	notice ( isla , isla ) <eos>
alice notices bob <eos>	notice ( alice , bob ) <eos>	notice ( bob , alice ) <eos>
alice likes margaret <eos>	like ( alice , margaret ) <eos>	like ( margaret , margaret ) <eos>
alice meets henry <eos>	meet ( alice , henry ) <eos>	meet ( henry , henry ) <eos>
alice sees tracy <eos>	see ( alice , tracy ) <eos>	see ( tracy , tracy ) <eos>
alice knows patricia <eos>	know ( alice , patricia ) <eos>	know ( patricia , alice ) <eos>
alice dislikes yvette <eos>	dislike ( alice , yvettte ) <eos>	dislike ( yvettte , yvettte ) <eos>
alice flies <eos>	fly ( alice ) <eos>	fly ( <eos>
alice sings <eos>	sing ( alice ) <eos>	sing ( alice ) <eos>
alice runs <eos>	run ( alice ) <eos>	run ( alice ) <eos>
alice dances <eos>	dance ( alice ) <eos>	dance ( alice ) <eos>
alice eats <eos>	eat ( alice ) <eos>	eat ( alice ) <eos>
alice notices quinn <eos>	notice ( alice , quinn ) <eos>	notice ( quinn , quinn ) <eos>
alice notices victor <eos>	notice ( alice , victor ) <eos>	notice ( victor , victor ) <eos>
alice likes eliza <eos>	like ( alice , eliza ) <eos>	like ( eliza ) <eos>
alice knows lewis <eos>	know ( alice , lewis ) <eos>	know ( lewis , lewis ) <eos>
alice likes samuel <eos>	like ( alice , samuel ) <eos>	like ( samuel , samuel ) <eos>
alice throws rachael <eos>	throw ( alice , rachael ) <eos>	throw ( rachael , rachael ) <eos>
alice dislikes grace <eos>	dislike ( alice , grace ) <eos>	dislike ( grace , alice ) <eos>
alice knows isla <eos>	know ( alice , isla ) <eos>	know ( isla , isla ) <eos>
alice likes grace <eos>	like ( alice , grace ) <eos>	like ( grace , grace ) <eos>
alice sees victor <eos>	see ( alice , victor ) <eos>	see ( victor , victor ) <eos>
alice notices zelda <eos>	notice ( alice , zelda ) <eos>	notice ( zelda , zelda ) <eos>
alice throws winnifred <eos>	throw ( alice , winnifred ) <eos>	throw ( winnifred , winnifred ) <eos>
alice dislikes bob <eos>	dislike ( alice , bob ) <eos>	dislike ( bob , bob ) <eos>
alice knows francis <eos>	know ( alice , francis ) <eos>	know ( francis , francis ) <eos>
alice knows winnifred <eos>	know ( alice , winnifred ) <eos>	know ( winnifred , winnifred ) <eos>
alice meets victor <eos>	meet ( alice , victor ) <eos>	meet ( victor , victor ) <eos>
alice meets patricia <eos>	meet ( alice , patricia ) <eos>	meet ( patricia , patricia ) <eos>
alice throws herself <eos>	throw ( alice , alice ) <eos>	throw ( claire , alice ) <eos>
alice throws zelda <eos>	throw ( alice , zelda ) <eos>	throw ( zelda , zelda ) <eos>
alice meets lewis <eos>	meet ( alice , lewis ) <eos>	meet ( lewis , lewis ) <eos>
alice notices herself <eos>	notice ( alice , alice ) <eos>	notice ( claire , alice ) <eos>
alice knows katherine <eos>	know ( alice , katherine ) <eos>	know ( katherine , alice ) <eos>
alice dislikes alice <eos>	dislike ( alice , alice ) <eos>	dislike ( isla , alice ) <eos>
alice notices claire <eos>	notice ( alice , claire ) <eos>	notice ( claire , claire ) <eos>
alice knows bob <eos>	know ( alice , bob ) <eos>	know ( bob , bob ) <eos>
alice notices katherine <eos>	notice ( alice , katherine ) <eos>	notice ( katherine , katherine ) <eos>
alice dislikes herself <eos>	dislike ( alice , alice ) <eos>	dislike ( claire , alice ) <eos>
alice notices oswald <eos>	notice ( alice , oswald ) <eos>	notice ( oswald , oswald ) <eos>
alice likes bob <eos>	like ( alice , bob ) <eos>	like ( bob , bob ) <eos>
alice sees samuel <eos>	see ( alice , samuel ) <eos>	see ( samuel , samuel ) <eos>
alice likes alice <eos>	like ( alice , alice ) <eos>	like ( claire , alice ) <eos>
alice likes oswald <eos>	like ( alice , oswald ) <eos>	like ( oswald , oswald ) <eos>
alice notices john <eos>	notice ( alice , john ) <eos>	notice ( john , john ) <eos>
alice likes victor <eos>	like ( alice , victor ) <eos>	like ( victor , victor ) <eos>
alice likes xerxes <eos>	like ( alice , xerxes ) <eos>	like ( xerxes , xerxes ) <eos>
alice likes henry <eos>	like ( alice , henry ) <eos>	like ( henry ) <eos>
alice knows margaret <eos>	know ( alice , margaret ) <eos>	know ( margaret , margaret ) <eos>
alice sees bob <eos>	see ( alice , bob ) <eos>	see ( bob , bob ) <eos>
alice knows daniel <eos>	know ( alice , daniel ) <eos>	know ( daniel ) <eos>
alice likes daniel <eos>	like ( alice , daniel ) <eos>	like ( daniel ) <eos>
alice throws katherine <eos>	throw ( alice , katherine ) <eos>	throw ( katherine , alice ) <eos>
alice sees eliza <eos>	see ( alice , eliza ) <eos>	see ( eliza ) <eos>
alice likes katherine <eos>	like ( alice , katherine ) <eos>	like ( katherine , alice ) <eos>
alice dislikes isla <eos>	dislike ( alice , isla ) <eos>	dislike ( isla , isla ) <eos>
alice throws grace <eos>	throw ( alice , grace ) <eos>	throw ( grace , grace ) <eos>
alice throws francis <eos>	throw ( alice , francis ) <eos>	throw ( francis , francis ) <eos>
