source	target	prediction
victor knows alice <eos>	know ( victor , alice ) <eos>	know ( victor , alice ) <eos>
daniel throws alice <eos>	throw ( daniel , alice ) <eos>	throw ( daniel , alice ) <eos>
tracy likes alice <eos>	like ( tracy , alice ) <eos>	like ( tracy , alice ) <eos>
alice meets alice <eos>	meet ( alice , alice ) <eos>	meet ( alice , alice ) <eos>
samuel sees alice <eos>	see ( samuel , alice ) <eos>	see ( samuel , alice ) <eos>
tracy knows alice <eos>	know ( tracy , alice ) <eos>	know ( tracy , alice ) <eos>
daniel meets alice <eos>	meet ( daniel , alice ) <eos>	meet ( daniel , alice ) <eos>
francis knows alice <eos>	know ( francis , alice ) <eos>	know ( francis , alice ) <eos>
ursula meets alice <eos>	meet ( ursula , alice ) <eos>	meet ( ursula , alice ) <eos>
samuel meets alice <eos>	meet ( samuel , alice ) <eos>	meet ( samuel , alice ) <eos>
patricia throws alice <eos>	throw ( patricia , alice ) <eos>	throw ( patricia , alice ) <eos>
katherine likes alice <eos>	like ( katherine , alice ) <eos>	like ( katherine , alice ) <eos>
grace throws alice <eos>	throw ( grace , alice ) <eos>	throw ( grace , alice ) <eos>
xerxes throws alice <eos>	throw ( xerxes , alice ) <eos>	throw ( xerxes , alice ) <eos>
alice sees alice <eos>	see ( alice , alice ) <eos>	see ( alice , alice ) <eos>
xerxes likes alice <eos>	like ( xerxes , alice ) <eos>	like ( xerxes , alice ) <eos>
lewis likes alice <eos>	like ( lewis , alice ) <eos>	like ( lewis , alice ) <eos>
eliza dislikes alice <eos>	dislike ( eliza , alice ) <eos>	dislike ( eliza , alice ) <eos>
margaret notices alice <eos>	notice ( margaret , alice ) <eos>	notice ( margaret , alice ) <eos>
isla knows alice <eos>	know ( isla , alice ) <eos>	know ( isla , alice ) <eos>
xerxes dislikes alice <eos>	dislike ( xerxes , alice ) <eos>	dislike ( xerxes , alice ) <eos>
winnifred notices alice <eos>	notice ( winnifred , alice ) <eos>	notice ( winnifred , alice ) <eos>
john throws alice <eos>	throw ( john , alice ) <eos>	throw ( john , alice ) <eos>
yvette sees alice <eos>	see ( yvettte , alice ) <eos>	see ( yvettte , alice ) <eos>
rachael meets alice <eos>	meet ( rachael , alice ) <eos>	meet ( rachael , alice ) <eos>
claire meets alice <eos>	meet ( claire , alice ) <eos>	meet ( claire , alice ) <eos>
eliza likes alice <eos>	like ( eliza , alice ) <eos>	like ( eliza , alice ) <eos>
oswald likes alice <eos>	like ( oswald , alice ) <eos>	like ( oswald , alice ) <eos>
claire notices alice <eos>	notice ( claire , alice ) <eos>	notice ( claire , alice ) <eos>
bob likes alice <eos>	like ( bob , alice ) <eos>	like ( bob , alice ) <eos>
isla dislikes alice <eos>	dislike ( isla , alice ) <eos>	dislike ( isla , alice ) <eos>
winnifred knows alice <eos>	know ( winnifred , alice ) <eos>	know ( winnifred , alice ) <eos>
samuel throws alice <eos>	throw ( samuel , alice ) <eos>	throw ( samuel , alice ) <eos>
