source	target	prediction
claire flies	fly ( claire )	fly ( claire )
claire dances	dance ( claire )	dance ( claire )
claire sings	sing ( claire )	sing ( claire )
bob dances	dance ( bob )	know ( bob )
bob sleeps	sleep ( bob )	sleep ( bob )
henry walks	walk ( henry )	walk ( henry )
grace eats	eat ( grace )	eat ( grace )
grace sleeps	sleep ( grace )	sleep ( grace )
francis sleeps	sleep ( francis )	sleep ( francis )
daniel flies	fly ( daniel )	fly ( daniel )
katherine runs	run ( katherine )	run ( katherine )
john sings	sing ( john )	sing ( john )
isla sleeps	sleep ( isla )	sleep ( isla )
henry sings	sing ( henry )	sing ( henry )
henry runs	run ( henry )	run ( henry )
samuel eats	eat ( samuel )	eat ( samuel )
samuel walks	walk ( samuel )	walk ( samuel )
quinn slumbers	slumber ( quinn )	know ( quinn )
katherine slumbers	slumber ( katherine )	slumber ( katherine )
katherine dances	dance ( katherine )	dance ( katherine )
alice likes alice	like ( alice , alice )	like ( alice , alice )
alice meets ursula	meet ( alice , ursula )	meet ( alice , ursula )
alice meets daniel	meet ( alice , daniel )	meet ( alice , daniel )
alice sees tracy	see ( alice , tracy )	see ( alice , tracy )
victor flies	fly ( victor )	fly ( victor ) ) ->
alice notices katherine	notice ( alice , katherine )	notice ( alice , katherine )
alice throws lewis	throw ( alice , lewis )	throw ( alice , lewis )
alice dislikes samuel	dislike ( alice , samuel )	dislike ( alice , samuel )
alice likes lewis	like ( alice , lewis )	like ( alice , lewis )
alice likes john	like ( alice , john )	like ( alice , john )
alice knows yvette	know ( alice , yvettte )	know ( alice , yvettte )
alice knows rachael	know ( alice , rachael )	know ( alice , rachael )
alice knows margaret	know ( alice , margaret )	know ( alice , margaret )
alice knows grace	know ( alice , grace )	know ( alice , grace )
alice notices ursula	notice ( alice , ursula )	notice ( alice , ursula )
alice meets xerxes	meet ( alice , xerxes )	meet ( alice , xerxes )
alice meets quinn	meet ( alice , quinn )	meet ( alice , quinn )
alice meets patricia	meet ( alice , patricia )	meet ( alice , patricia )
alice meets margaret	meet ( alice , margaret )	meet ( alice , margaret )
alice meets bob	meet ( alice , bob )	meet ( alice , bob )
alice dislikes bob	dislike ( alice , bob )	dislike ( alice , bob )
alice likes victor	like ( alice , victor )	like ( alice , victor )
alice likes samuel	like ( alice , samuel )	like ( alice , samuel )
alice likes quinn	like ( alice , quinn )	like ( alice , quinn )
alice meets zelda	meet ( alice , zelda )	meet ( alice , zelda )
alice throws winnifred	throw ( alice , winnifred )	throw ( alice , winnifred )
alice throws victor	throw ( alice , victor )	throw ( alice , victor )
alice throws quinn	throw ( alice , quinn )	throw ( alice , quinn )
alice throws oswald	throw ( alice , oswald )	throw ( alice , oswald )
alice throws eliza	throw ( alice , eliza )	throw ( alice , eliza )
bob sees henry	see ( bob , henry )	see ( bob , henry )
alice knows alice	know ( alice , alice )	know ( alice , alice )
alice notices yvette	notice ( alice , yvettte )	notice ( alice , yvettte )
alice notices ursula	notice ( alice , ursula )	notice ( alice , ursula )
alice notices katherine	notice ( alice , katherine )	notice ( alice , katherine )
bob dislikes lewis	dislike ( bob , lewis )	dislike ( bob , lewis )
bob likes francis	like ( bob , francis )	like ( bob , francis )
bob likes alice	like ( bob , alice )	like ( bob , alice )
bob sees winnifred	see ( bob , winnifred )	see ( bob , winnifred )
bob sees samuel	see ( bob , samuel )	see ( bob , samuel )
bob throws tracy	throw ( bob , tracy )	throw ( bob , tracy )
bob throws rachael	throw ( bob , rachael )	throw ( bob , rachael )
bob throws bob	throw ( bob , bob )	throw ( bob , bob )
bob dislikes victor	dislike ( bob , victor )	dislike ( bob , victor )
bob dislikes oswald	dislike ( bob , oswald )	dislike ( bob , oswald )
bob knows rachael	know ( bob , rachael )	know ( bob , rachael )
bob knows margaret	know ( bob , margaret )	know ( bob , margaret )
bob knows claire	know ( bob , claire )	know ( bob , claire )
bob knows bob	know ( bob , bob )	know ( bob , bob )
bob notices daniel	notice ( bob , daniel )	notice ( bob , daniel )
bob sees winnifred	see ( bob , winnifred )	see ( bob , winnifred )
bob sees oswald	see ( bob , oswald )	see ( bob , oswald )
bob sees francis	see ( bob , francis )	see ( bob , francis )
bob sees bob	see ( bob , bob )	see ( bob , bob )
bob knows yvette	know ( bob , yvettte )	know ( bob , yvettte )
bob dislikes bob	dislike ( bob , bob )	dislike ( bob , bob )
bob likes isla	like ( bob , isla )	like ( bob , isla )
bob meets yvette	meet ( bob , yvettte )	meet ( bob , yvettte )
bob meets victor	meet ( bob , victor )	meet ( bob , victor )
bob meets katherine	meet ( bob , katherine )	meet ( bob , katherine )
bob throws tracy	throw ( bob , tracy )	throw ( bob , tracy )
bob throws grace	throw ( bob , grace )	throw ( bob , grace )
bob throws francis	throw ( bob , francis )	throw ( bob , francis )
bob dislikes winnifred	dislike ( bob , winnifred )	dislike ( bob , winnifred )
bob dislikes daniel	dislike ( bob , daniel )	dislike ( bob , daniel )
claire dislikes bob	dislike ( claire , bob )	dislike ( claire , bob )
claire meets eliza	meet ( claire , eliza )	meet ( claire , eliza )
claire sees francis	see ( claire , francis )	see ( claire , francis )
claire sees eliza	see ( claire , eliza )	see ( claire , eliza )
