source	target	prediction
james may hiccup <eos>	james may hiccup <eos>	james may hiccup <eos> swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim
vernon may giggle <eos>	vernon may giggle <eos>	vernon may giggle <eos> swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim
hagrid should jump <eos>	hagrid should jump <eos>	hagrid should jump <eos> swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim
albus may wiggle <eos>	albus may wiggle <eos>	albus may wiggle <eos> swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim
petunia can hiccup <eos>	petunia can hiccup <eos>	petunia can hiccup <eos> swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim
he must swim <eos>	he must swim <eos>	he must swim <eos> swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim
she should run <eos>	she should run <eos>	she should run <eos> swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim
harry should party <eos>	harry should party <eos>	harry should party <eos> swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim
neville can run <eos>	neville can run <eos>	neville can run <eos> swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim
albus should wiggle <eos>	albus should wiggle <eos>	albus should wiggle <eos> swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim
petunia should jump <eos>	petunia should jump <eos>	petunia should jump <eos> swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim
mcgonagall should walk <eos>	mcgonagall should walk <eos>	mcgonagall should walk <eos> swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim
vernon may wiggle <eos>	vernon may wiggle <eos>	vernon may wiggle <eos> swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim
hagrid should hiccup <eos>	hagrid should hiccup <eos>	hagrid should hiccup <eos> swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim
voldemort may walk <eos>	voldemort may walk <eos>	voldemort may walk <eos> swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim
lupin should swim <eos>	lupin should swim <eos>	lupin should swim <eos> swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim
fred must run <eos>	fred must run <eos>	fred must run <eos> swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim
lupin must wiggle <eos>	lupin must wiggle <eos>	lupin must wiggle <eos> swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim
she should hiccup <eos>	she should hiccup <eos>	she should hiccup <eos> swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim
snape can jump <eos>	snape can jump <eos>	snape can jump <eos> swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim
lupin can walk <eos>	lupin can walk <eos>	lupin can walk <eos> swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim swim
