source,target
Lily can prepare a pancake that Fred should prepare neg,Lily can not prepare a pancake that Fred should prepare
Hermione may arrange the doughnuts that Lily should make neg,Hermione may not arrange the doughnuts that Lily should make
Harry should make the eclaire that the professor can eat neg,Harry should not make the eclaire that the professor can eat
Lily may chew the strudels neg,Lily may not chew the strudels
Snape can assemble a doughnut that a witch must prepare neg,Snape can not assemble a doughnut that a witch must prepare
Hagrid may assemble many strudels because Vernon can hide the chocolates that Ron may gobble neg,Hagrid may not assemble many strudels because Vernon can hide the chocolates that Ron may gobble
Hermione may hide a cake neg,Hermione may not hide a cake
the student should hiccup neg,the student should not hiccup
Petunia must sprinkle the souffles which Draco should make neg,Petunia must not sprinkle the souffles which Draco should make
James must gobble the croissants neg,James must not gobble the croissants
because Hermione must hide the chocolate which a witch can gobble Snape must sprinkle many souffles neg,because Hermione must hide the chocolate which a witch can gobble Snape must not sprinkle many souffles
since a witch should swim Snape may arrange the cakes which Fred should create neg,since a witch should swim Snape may not arrange the cakes which Fred should create
James may sprinkle the strudels neg,James may not sprinkle the strudels
Vernon must gobble a eclaire neg,Vernon must not gobble a eclaire
Harry can make the cookies neg,Harry can not make the cookies
he can hiccup neg,he can not hiccup
Neville must run neg,Neville must not run
because the professor must prepare a souffle Petunia must make a doughnut which Voldemort can eat neg,because the professor must prepare a souffle Petunia must not make a doughnut which Voldemort can eat
Albus can create the souffles neg,Albus can not create the souffles
since Lily can laugh the professor must make many croissants which a student should chew neg,since Lily can laugh the professor must not make many croissants which a student should chew
because she should sprinkle the croissant Sirius should hide the baklava neg,because she should sprinkle the croissant Sirius should not hide the baklava
Voldemort can assemble the strudel because he can eat the croissants neg,Voldemort can not assemble the strudel because he can eat the croissants
James should party neg,James should not party
Lily can smile neg,Lily can not smile
a wizard must sprinkle the chocolate because he must swim neg,a wizard must not sprinkle the chocolate because he must swim
Voldemort should eat the strudels that Harry must chew neg,Voldemort should not eat the strudels that Harry must chew
