source	target	prediction
alice likes john <eos>	like ( alice , john ) <eos>	like ( alice , john ) <eos>
alice notices quinn <eos>	notice ( alice , quinn ) <eos>	notice ( alice , quinn ) <eos>
alice walks <eos>	walk ( alice ) <eos>	walk ( alice ) <eos>
alice runs <eos>	run ( alice ) <eos>	run ( alice ) <eos>
alice flies <eos>	fly ( alice ) <eos>	fly ( alice ) <eos>
alice throws zelda <eos>	throw ( alice , zelda ) <eos>	throw ( alice , zelda ) <eos>
alice meets xerxes <eos>	meet ( alice , xerxes ) <eos>	meet ( alice , xerxes ) <eos>
alice notices alice <eos>	notice ( alice , alice ) <eos>	notice ( alice , alice ) <eos>
alice meets oswald <eos>	meet ( alice , oswald ) <eos>	meet ( alice , oswald ) <eos>
alice likes patricia <eos>	like ( alice , patricia ) <eos>	like ( alice , patricia ) <eos>
alice notices eliza <eos>	notice ( alice , eliza ) <eos>	notice ( alice , eliza ) <eos>
alice throws yvette <eos>	throw ( alice , yvettte ) <eos>	throw ( alice , yvettte ) <eos>
alice throws quinn <eos>	throw ( alice , quinn ) <eos>	throw ( alice , quinn ) <eos>
alice throws alice <eos>	throw ( alice , alice ) <eos>	throw ( alice , alice ) <eos>
alice throws tracy <eos>	throw ( alice , tracy ) <eos>	throw ( alice , tracy ) <eos>
alice sees tracy <eos>	see ( alice , tracy ) <eos>	see ( alice , tracy ) <eos>
alice meets grace <eos>	meet ( alice , grace ) <eos>	meet ( alice , grace ) <eos>
alice meets eliza <eos>	meet ( alice , eliza ) <eos>	meet ( alice , eliza ) <eos>
alice dislikes margaret <eos>	dislike ( alice , margaret ) <eos>	dislike ( alice , margaret ) <eos>
alice likes claire <eos>	like ( alice , claire ) <eos>	like ( alice , claire ) <eos>
alice notices claire <eos>	notice ( alice , claire ) <eos>	notice ( alice , claire ) <eos>
alice meets alice <eos>	meet ( alice , alice ) <eos>	meet ( alice , alice ) <eos>
alice likes tracy <eos>	like ( alice , tracy ) <eos>	like ( alice , tracy ) <eos>
alice throws oswald <eos>	throw ( alice , oswald ) <eos>	throw ( alice , oswald ) <eos>
alice likes lewis <eos>	like ( alice , lewis ) <eos>	like ( alice , lewis ) <eos>
