source	transformation	target
Xavier sees Ellie	sem	see ( xavier , ellie )
Isla dreams	sem	dream ( isla )
Zack by Leo believes Ned	sem	 believe ( zack , ned ) & by ( zack , leo ) 
Zack dreams	sem	dream ( zack )
Ellie near Frank dances	sem	 dance ( ellie ) & near ( ellie , frank ) 
Leo by Ynez meets himself	sem	 meet ( leo , leo ) & by ( leo , ynez ) 
Ned by Ron hears Zack	sem	 hear ( ned , zack ) & by ( ned , ron ) 
Frank knows himself	sem	know ( frank , frank )
Leo beside Claire believes himself	sem	 believe ( leo , leo ) & beside ( leo , claire ) 
Quinn by Leo knows Olivia	sem	 know ( quinn , olivia ) & by ( quinn , leo ) 
Mary sleeps	sem	sleep ( mary )
Ynez runs	sem	run ( ynez )
Thomas near Leo believes himself	sem	 believe ( thomas , thomas ) & near ( thomas , leo ) 
Ynez by Willow dances	sem	 dance ( ynez ) & by ( ynez , willow ) 
Leo near Henry dreams	sem	 dream ( leo ) & near ( leo , henry ) 
Ursa hears Daniel	sem	hear ( ursa , daniel )
Ursa meets Bob	sem	meet ( ursa , bob )
Willow near Xavier believes herself	sem	 believe ( willow , willow ) & near ( willow , xavier ) 
John behind Grace believes Peter	sem	 believe ( john , peter ) & behind ( john , grace ) 
Grace beside Peter knows Peter	sem	 know ( grace , peter ) & beside ( grace , peter ) 
Mary near Victor believes Quinn	sem	 believe ( mary , quinn ) & near ( mary , victor ) 
Ned behind Zack sings	sem	 sing ( ned ) & behind ( ned , zack ) 
Zack meets John	sem	meet ( zack , john )
Willow near Claire hears Kate	sem	 hear ( willow , kate ) & near ( willow , claire ) 
Ned dances	sem	dance ( ned )
Sarah beside Leo sees Claire	sem	 see ( sarah , claire ) & beside ( sarah , leo ) 
Thomas by Thomas dreams	sem	 dream ( thomas ) & by ( thomas , thomas ) 
Henry by Isla sings	sem	 sing ( henry ) & by ( henry , isla ) 
Ned knows Ron	sem	know ( ned , ron )
John hears Isla	sem	hear ( john , isla )
Ursa knows Grace	sem	know ( ursa , grace )
Kate near Ursa sees herself	sem	 see ( kate , kate ) & near ( kate , ursa ) 
Frank by Mary knows Bob	sem	 know ( frank , bob ) & by ( frank , mary ) 
Kate by Ellie believes Kate	sem	 believe ( kate , kate ) & by ( kate , ellie ) 
Claire near Xavier sees herself	sem	 see ( claire , claire ) & near ( claire , xavier ) 
Leo behind Quinn hears Victor	sem	 hear ( leo , victor ) & behind ( leo , quinn ) 
Alice knows Sarah	sem	know ( alice , sarah )
Victor by Olivia sees Xavier	sem	 see ( victor , xavier ) & by ( victor , olivia ) 
Alice dances	sem	dance ( alice )
Frank meets himself	sem	meet ( frank , frank )
Willow near Ellie sings	sem	 sing ( willow ) & near ( willow , ellie ) 
Ynez by Bob meets Ron	sem	 meet ( ynez , ron ) & by ( ynez , bob ) 
Claire near Ellie meets Peter	sem	 meet ( claire , peter ) & near ( claire , ellie ) 
Xavier by Henry dreams	sem	 dream ( xavier ) & by ( xavier , henry ) 
Sarah behind Leo meets herself	sem	 meet ( sarah , sarah ) & behind ( sarah , leo ) 
Frank behind Bob dances	sem	 dance ( frank ) & behind ( frank , bob ) 
Mary behind Olivia runs	sem	 run ( mary ) & behind ( mary , olivia ) 
Mary believes Claire	sem	believe ( mary , claire )
Alice beside Isla dances	sem	 dance ( alice ) & beside ( alice , isla ) 
Leo beside Frank sees Bob	sem	 see ( leo , bob ) & beside ( leo , frank ) 
Frank near Quinn hears Daniel	sem	 hear ( frank , daniel ) & near ( frank , quinn ) 
Isla dreams	sem	dream ( isla )
Zack knows Claire	sem	know ( zack , claire )
Frank behind Ellie knows himself	sem	 know ( frank , frank ) & behind ( frank , ellie ) 
Sarah meets Alice	sem	meet ( sarah , alice )
Henry by Daniel sees himself	sem	 see ( henry , henry ) & by ( henry , daniel ) 
Ned behind Quinn believes Zack	sem	 believe ( ned , zack ) & behind ( ned , quinn ) 
Frank behind Ron hears himself	sem	 hear ( frank , frank ) & behind ( frank , ron ) 
Ynez behind John sleeps	sem	 sleep ( ynez ) & behind ( ynez , john ) 
Sarah behind Ellie sees herself	sem	 see ( sarah , sarah ) & behind ( sarah , ellie ) 
Victor knows Isla	sem	know ( victor , isla )
Victor behind Claire runs	sem	 run ( victor ) & behind ( victor , claire ) 
Kate behind Ynez meets herself	sem	 meet ( kate , kate ) & behind ( kate , ynez ) 
Claire near Ned hears Ron	sem	 hear ( claire , ron ) & near ( claire , ned ) 
Claire by Ursa sings	sem	 sing ( claire ) & by ( claire , ursa ) 
Quinn knows Zack	sem	know ( quinn , zack )
Ursa beside Kate sees Isla	sem	 see ( ursa , isla ) & beside ( ursa , kate ) 
Ellie near Xavier dreams	sem	 dream ( ellie ) & near ( ellie , xavier ) 
Frank behind Ursa sings	sem	 sing ( frank ) & behind ( frank , ursa ) 
Thomas hears himself	sem	hear ( thomas , thomas )
Isla near Ellie meets Peter	sem	 meet ( isla , peter ) & near ( isla , ellie ) 
Leo near Daniel meets himself	sem	 meet ( leo , leo ) & near ( leo , daniel ) 
Thomas sees Ellie	sem	see ( thomas , ellie )
Ursa hears herself	sem	hear ( ursa , ursa )
Olivia by Leo knows Grace	sem	 know ( olivia , grace ) & by ( olivia , leo ) 
Ursa believes Willow	sem	believe ( ursa , willow )
Quinn meets herself	sem	meet ( quinn , quinn )
Ursa behind Olivia knows Ron	sem	 know ( ursa , ron ) & behind ( ursa , olivia ) 
Kate runs	sem	run ( kate )
Sarah believes Alice	sem	believe ( sarah , alice )
Kate by Xavier sleeps	sem	 sleep ( kate ) & by ( kate , xavier ) 
Victor sees Kate	sem	see ( victor , kate )
Zack knows Sarah	sem	know ( zack , sarah )
Frank dances	sem	dance ( frank )
Leo meets Kate	sem	meet ( leo , kate )
Mary dances	sem	dance ( mary )
John behind Victor believes Kate	sem	 believe ( john , kate ) & behind ( john , victor ) 
Thomas believes John	sem	believe ( thomas , john )
Zack believes himself	sem	believe ( zack , zack )
Ron behind Leo runs	sem	 run ( ron ) & behind ( ron , leo ) 
Peter meets himself	sem	meet ( peter , peter )
Xavier behind Xavier hears himself	sem	 hear ( xavier , xavier ) & behind ( xavier , xavier ) 
Peter behind Claire sleeps	sem	 sleep ( peter ) & behind ( peter , claire ) 
Ursa meets Daniel	sem	meet ( ursa , daniel )
Quinn believes herself	sem	believe ( quinn , quinn )
Quinn behind Isla dances	sem	 dance ( quinn ) & behind ( quinn , isla ) 
Mary dances	sem	dance ( mary )
Willow near Mary meets Leo	sem	 meet ( willow , leo ) & near ( willow , mary ) 
Ron by Ron sleeps	sem	 sleep ( ron ) & by ( ron , ron ) 
Quinn behind Quinn sees herself	sem	 see ( quinn , quinn ) & behind ( quinn , quinn ) 
Peter meets himself	sem	meet ( peter , peter )
Victor believes himself	sem	believe ( victor , victor )
Leo near Ynez runs	sem	 run ( leo ) & near ( leo , ynez ) 
Ynez sees Daniel	sem	see ( ynez , daniel )
Sarah sleeps	sem	sleep ( sarah )
Xavier believes Willow	sem	believe ( xavier , willow )
Ned by Ursa meets Thomas	sem	 meet ( ned , thomas ) & by ( ned , ursa ) 
Peter near Isla hears Ned	sem	 hear ( peter , ned ) & near ( peter , isla ) 
Olivia by Ursa knows herself	sem	 know ( olivia , olivia ) & by ( olivia , ursa ) 
Grace dances	sem	dance ( grace )
Ned behind Claire sleeps	sem	 sleep ( ned ) & behind ( ned , claire ) 
Isla hears Ned	sem	hear ( isla , ned )
Henry beside Frank believes Grace	sem	 believe ( henry , grace ) & beside ( henry , frank ) 
Ned behind Sarah dreams	sem	 dream ( ned ) & behind ( ned , sarah ) 
John by Leo meets Quinn	sem	 meet ( john , quinn ) & by ( john , leo ) 
Quinn near Victor knows Bob	sem	 know ( quinn , bob ) & near ( quinn , victor ) 
Victor dreams	sem	dream ( victor )
Victor near Frank knows himself	sem	 know ( victor , victor ) & near ( victor , frank ) 
Ron believes Frank	sem	believe ( ron , frank )
Quinn near Ursa dances	sem	 dance ( quinn ) & near ( quinn , ursa ) 
Thomas by Willow dances	sem	 dance ( thomas ) & by ( thomas , willow ) 
John behind Isla hears Frank	sem	 hear ( john , frank ) & behind ( john , isla ) 
Alice sees herself	sem	see ( alice , alice )
John sings	sem	sing ( john )
Ursa beside Leo sings	sem	 sing ( ursa ) & beside ( ursa , leo ) 
Ned hears Willow	sem	hear ( ned , willow )
Frank near Ellie believes Thomas	sem	 believe ( frank , thomas ) & near ( frank , ellie ) 
Zack sleeps	sem	sleep ( zack )
Bob behind Thomas meets himself	sem	 meet ( bob , bob ) & behind ( bob , thomas ) 
Isla knows Isla	sem	know ( isla , isla )
Ned behind Ellie hears Xavier	sem	 hear ( ned , xavier ) & behind ( ned , ellie ) 
Ynez behind Mary hears herself	sem	 hear ( ynez , ynez ) & behind ( ynez , mary ) 
Quinn hears herself	sem	hear ( quinn , quinn )
Thomas meets himself	sem	meet ( thomas , thomas )
Leo near Henry meets Kate	sem	 meet ( leo , kate ) & near ( leo , henry ) 
Sarah believes herself	sem	believe ( sarah , sarah )
Ynez dances	sem	dance ( ynez )
Sarah runs	sem	run ( sarah )
Xavier sees Isla	sem	see ( xavier , isla )
Quinn beside Mary sees herself	sem	 see ( quinn , quinn ) & beside ( quinn , mary ) 
Zack near Frank runs	sem	 run ( zack ) & near ( zack , frank ) 
Xavier beside Ellie sings	sem	 sing ( xavier ) & beside ( xavier , ellie ) 
Olivia near Kate meets Xavier	sem	 meet ( olivia , xavier ) & near ( olivia , kate ) 
Leo sees Xavier	sem	see ( leo , xavier )
Ursa by Ursa hears Kate	sem	 hear ( ursa , kate ) & by ( ursa , ursa ) 
Olivia sleeps	sem	sleep ( olivia )
Daniel sleeps	sem	sleep ( daniel )
Thomas sleeps	sem	sleep ( thomas )
Ned by Sarah hears Alice	sem	 hear ( ned , alice ) & by ( ned , sarah ) 
Frank by Peter sleeps	sem	 sleep ( frank ) & by ( frank , peter ) 
Ellie by Sarah dreams	sem	 dream ( ellie ) & by ( ellie , sarah ) 
Willow believes Quinn	sem	believe ( willow , quinn )
Daniel beside Isla sees Frank	sem	 see ( daniel , frank ) & beside ( daniel , isla ) 
Quinn believes herself	sem	believe ( quinn , quinn )
Zack dreams	sem	dream ( zack )
Sarah by Henry sees Ursa	sem	 see ( sarah , ursa ) & by ( sarah , henry ) 
Thomas near Ellie hears Willow	sem	 hear ( thomas , willow ) & near ( thomas , ellie ) 
Alice believes herself	sem	believe ( alice , alice )
Olivia runs	sem	run ( olivia )
Victor knows Ned	sem	know ( victor , ned )
John beside Grace dances	sem	 dance ( john ) & beside ( john , grace ) 
Xavier dreams	sem	dream ( xavier )
Ynez sees Quinn	sem	see ( ynez , quinn )
Zack beside Grace dances	sem	 dance ( zack ) & beside ( zack , grace ) 
Thomas believes himself	sem	believe ( thomas , thomas )
Peter sees himself	sem	see ( peter , peter )
Quinn dances	sem	dance ( quinn )
